Base,Latitude,Longitude,MGRS,AFSC_Code,AFSC_Full_Name,PDF_URL,Base_URL,Aircraft,Base_Type,First_Duty_Station,Service,Army_Note
ALBACETE (SPAIN),"38°57'0.00""N","1°52'0.00""W",,12X,12X (COMBAT SYSTEMS OFFICER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/12XX.html,,,Active Duty,No,USAF,
BARKSDALE AFB,"32°29'45""N","93°40'21""W",15S VR 36822 95596,12X,12X (COMBAT SYSTEMS OFFICER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/12XX.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_BARKSDALE_AFB.html,,Active Duty,Yes,USAF,
BEALE AFB,"39°06'41""N","121°21'35""W",10S FJ 41815 30418,12X,12X (COMBAT SYSTEMS OFFICER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/12XX.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_BEALE_AFB.html,,Active Duty,Yes,USAF,
BUCKLEY SFB,"39°42'09""N","104°45'29""W",13S ED 20741 94766,12X,12X (COMBAT SYSTEMS OFFICER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/12XX.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_BUCKLEY_SFB.html,,Active Duty,Yes,USAF,
CANNON AFB,"34°23'20""N","103°19'05""W",13S FU 54620 06558,12X,12X (COMBAT SYSTEMS OFFICER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/12XX.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_CANNON_AFB.html,,Active Duty,Yes,USAF,
COLUMBUS AFB,"33°37'38""N","88°26'51""W",16S CC 65739 21763,12X,12X (COMBAT SYSTEMS OFFICER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/12XX.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_COLUMBUS_AFB.html,,Active Duty,Yes,USAF,
CREECH AFB,"36°34'41""N","115°39'29""W",11S PA 20060 48904,12X,12X (COMBAT SYSTEMS OFFICER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/12XX.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_CREECH_AFB.html,,Active Duty,Yes,USAF,
DAVIS-MONTHAN AFB,"32°10'14""N","110°52'39""W",12S WA 11549 59347,12X,12X (COMBAT SYSTEMS OFFICER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/12XX.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_DAVIS-MONTHAN_AFB.html,,Active Duty,Yes,USAF,
DUKE FIELD,"30°38'39.32""N","86°31'42.41""W",16R EU 45183 90272,12X,12X (COMBAT SYSTEMS OFFICER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/12XX.html,https://paladindanse111.github.io/AFSC-PDFs/WING_files/WING_DUKE_FIELD.html,,Active Duty,Yes,USAF,
DYESS AFB,"32°25'17""N","99°50'31""W",14S MA 20838 87456,12X,12X (COMBAT SYSTEMS OFFICER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/12XX.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_DYESS_AFB.html,,Active Duty,Yes,USAF,
EDWARDS AFB,"34°55'25""N","117°53'29""W",11S MU 18582 64934,12X,12X (COMBAT SYSTEMS OFFICER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/12XX.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,,Active Duty,Yes,USAF,
EGLIN AFB,"30°27'49""N","86°33'11""W",16R EU 42905 70243,12X,12X (COMBAT SYSTEMS OFFICER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/12XX.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EGLIN_AFB.html,,Active Duty,Yes,USAF,
EIELSON AFB,"64°39'52""N","147°05'45""W",6W VS 95424 71061,12X,12X (COMBAT SYSTEMS OFFICER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/12XX.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EIELSON_AFB.html,,Active Duty,Yes,USAF,
ELLSWORTH AFB,"44°08'54""N","103°05'15""W",13T FJ 52951 90126,12X,12X (COMBAT SYSTEMS OFFICER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/12XX.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ELLSWORTH_AFB.html,,Active Duty,Yes,USAF,
FAIRCHILD AFB,"47°38'28""N","117°38'41""W",11T MN 51574 76613,12X,12X (COMBAT SYSTEMS OFFICER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/12XX.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_FAIRCHILD_AFB.html,,Active Duty,Yes,USAF,
FT GEORGE G MEADE,"39°06'14""N","76°44'42""W",18S UJ 49113 29754,12X,12X (COMBAT SYSTEMS OFFICER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/12XX.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_FT_GEORGE_G_MEADE.html,,Active Duty,Yes,USAF,
HILL AFB,"41°06'36""N","111°58'56""W",12T VL 17530 51433,12X,12X (COMBAT SYSTEMS OFFICER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/12XX.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_HILL_AFB.html,,Active Duty,Yes,USAF,
HURLBURT FIELD,"30°25'23""N","86°41'41""W",16R EU 29317 65704,12X,12X (COMBAT SYSTEMS OFFICER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/12XX.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_HURLBURT_FIELD.html,,Active Duty,Yes,USAF,
JB ELMENDORF-RICHARDSON,"61°15'44""N","149°41'53""W",6V UN 55306 94983,12X,12X (COMBAT SYSTEMS OFFICER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/12XX.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_JB_ELMENDORF-RICHARDSON.html,,Active Duty,Yes,USAF,
JB LANGLEY-EUSTIS,"37°05'00""N","76°21'33""W",18S UG 79195 04980,12X,12X (COMBAT SYSTEMS OFFICER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/12XX.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_JB_LANGLEY-EUSTIS.html,,Active Duty,Yes,USAF,
JB MCGUIRE-DIX-LAKEHURST,"40°02'15""N","74°35'18""W",18T WK 35120 32000,12X,12X (COMBAT SYSTEMS OFFICER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/12XX.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_JB_MCGUIRE-DIX-LAKEHURST.html,,Active Duty,Yes,USAF,
JB PEARL HARBOR-HICKAM,"21°20'15""N","157°57'43""W",4Q FJ 07643 59855,12X,12X (COMBAT SYSTEMS OFFICER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/12XX.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_JB_PEARL_HARBOR-HICKAM.html,,Active Duty,Yes,USAF,
JBSA RANDOLPH,"29°31'57""N","98°16'45""W",14R NT 69847 67200,12X,12X (COMBAT SYSTEMS OFFICER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/12XX.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_JBSA_RANDOLPH.html,,Active Duty,Yes,USAF,
KADENA AB,"26°21'30""N","127°46'20""E",52R CQ 77496 15950,12X,12X (COMBAT SYSTEMS OFFICER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/12XX.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_KADENA_AB.html,,Active Duty,Yes,USAF,
KIRTLAND AFB,"35°00'39""N","106°30'44""W",13S CU 62019 75289,12X,12X (COMBAT SYSTEMS OFFICER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/12XX.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_KIRTLAND_AFB.html,,Active Duty,Yes,USAF,
LAKENHEATH RAF,"52°23'23""N","0°32'14""E",31U CU 32414 07239,12X,12X (COMBAT SYSTEMS OFFICER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/12XX.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_LAKENHEATH_RAF.html,,Active Duty,Yes,USAF,
LUKE AFB,"33°32'22""N","112°22'32""W",12S UC 72284 11939,12X,12X (COMBAT SYSTEMS OFFICER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/12XX.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_LUKE_AFB.html,,Active Duty,Yes,USAF,
MCCONNELL AFB,"37°37'51""N","97°15'06""W",14S PG 54271 66293,12X,12X (COMBAT SYSTEMS OFFICER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/12XX.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_MCCONNELL_AFB.html,,Active Duty,Yes,USAF,
MILDENHALL RAF,"52°21'45""N","0°30'14""E",31U CU 30041 04290,12X,12X (COMBAT SYSTEMS OFFICER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/12XX.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_MILDENHALL_RAF.html,,Active Duty,Yes,USAF,
MINOT AFB,"48°25'13""N","101°19'36""W",14U LU 27861 65629,12X,12X (COMBAT SYSTEMS OFFICER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/12XX.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_MINOT_AFB.html,,Active Duty,Yes,USAF,
MISAWA AB,"40°41'55""N","141°22'28""E",54T WL 31634 05368,12X,12X (COMBAT SYSTEMS OFFICER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/12XX.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_MISAWA_AB.html,,Active Duty,Yes,USAF,
MOODY AFB,"30°58'12""N","83°11'47""W",17R KQ 90229 28346,12X,12X (COMBAT SYSTEMS OFFICER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/12XX.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_MOODY_AFB.html,,Active Duty,Yes,USAF,
MOUNTAIN HOME AFB,"43°03'59""N","115°51'18""W",11T NH 93226 68823,12X,12X (COMBAT SYSTEMS OFFICER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/12XX.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_MOUNTAIN_HOME_AFB.html,,Active Duty,Yes,USAF,
NELLIS AFB,"36°14'25""N","115°03'14""W",11S PA 74874 12355,12X,12X (COMBAT SYSTEMS OFFICER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/12XX.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_NELLIS_AFB.html,,Active Duty,Yes,USAF,
OFFUTT AFB,"41°07'25""N","95°54'52""W",15T TF 55334 56573,12X,12X (COMBAT SYSTEMS OFFICER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/12XX.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_OFFUTT_AFB.html,,Active Duty,Yes,USAF,
OSAN AB,"37°05'19""N","127°01'50""E",52S CG 24960 06516,12X,12X (COMBAT SYSTEMS OFFICER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/12XX.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_OSAN_AB.html,,Active Duty,Yes,USAF,
PATRICK SFB,"28°14'21""N","80°36'26""W",17R NM 38533 23759,12X,12X (COMBAT SYSTEMS OFFICER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/12XX.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_PATRICK_SFB.html,,Active Duty,Yes,USAF,
PENSACOLA NAS,"30° 21' 10""N","87° 16' 5""W",16R DU 74238 57907,12X,12X (COMBAT SYSTEMS OFFICER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/12XX.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_PENSACOLA_NAS.html,,Active Duty,Yes,USAF,
RAMSTEIN AB,"49°26'23""N","7°35'47""E",32U LV 98244 77286,12X,12X (COMBAT SYSTEMS OFFICER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/12XX.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_RAMSTEIN_AB.html.html,,Active Duty,Yes,USAF,
ROBINS AFB,"32°38'23""N","83°35'30""W",17S KS 56883 14314,12X,12X (COMBAT SYSTEMS OFFICER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/12XX.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ROBINS_AFB.html,,Active Duty,Yes,USAF,
SEYMOUR JOHNSON AFB,"35°20'24""N","77°57'41""W",18S TE 30850 14774,12X,12X (COMBAT SYSTEMS OFFICER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/12XX.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_SEYMOUR_JOHNSON_AFB.html,,Active Duty,Yes,USAF,
SHAW AFB,"33°58'02""N","80°29'05""W",17S NT 47603 58641,12X,12X (COMBAT SYSTEMS OFFICER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/12XX.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_SHAW_AFB.html,,Active Duty,Yes,USAF,
TINKER AFB,"35°25'09""N","97°24'15""W",14S PE 44882 20698,12X,12X (COMBAT SYSTEMS OFFICER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/12XX.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_TINKER_AFB.html,,Active Duty,Yes,USAF,
USAF ACADEMY,"39°0'0.00""N","104°52'60.00""W",,12X,12X (COMBAT SYSTEMS OFFICER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/12XX.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_USAF_ACADEMY.html,,Active Duty,No,USAF,
WHIDBEY ISLAND NA ABS,"48°21'6.00""N","122°39'22.00""W",,12X,12X (COMBAT SYSTEMS OFFICER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/12XX.html,,,Active Duty,No,USAF,
WHITEMAN AFB,"38°43'44""N","93°33'37""W",15S VC 51299 86840,12X,12X (COMBAT SYSTEMS OFFICER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/12XX.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_WHITEMAN_AFB.html,,Active Duty,Yes,USAF,
WILL ROGERS AIR NATIONAL GUARD BASE,"35°23'35.00""N","97°36'3.00""W",,12X,12X (COMBAT SYSTEMS OFFICER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/12XX.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/WILL_ROGERS.html,,Active Duty,No,USAF,
WRIGHT-PATTERSON AFB,"39°48'37""N","84°01'55""W",16S GK 54072 10915,12X,12X (COMBAT SYSTEMS OFFICER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/12XX.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_WRIGHT-PATTERSON_AFB.html,,Active Duty,Yes,USAF,
ANDERSEN AFB,"13°33'46""N","144°55'25""E",55P BR 75307 00327,13B,13B (AIR BATTLE MANAGER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/13B.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ANDERSEN_AFB.html,,Active Duty,Yes,USAF,
AVIANO AB,"46°01'49""N","12°36'41""E",33T UM 15147 00185,13B,13B (AIR BATTLE MANAGER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/13B.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_AVIANO_AB.html,,Active Duty,Yes,USAF,
BARKSDALE AFB,"32°29'45""N","93°40'21""W",15S VR 36822 95596,13B,13B (AIR BATTLE MANAGER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/13B.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_BARKSDALE_AFB.html,,Active Duty,Yes,USAF,
BEALE AFB,"39°06'41""N","121°21'35""W",10S FJ 41815 30418,13B,13B (AIR BATTLE MANAGER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/13B.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_BEALE_AFB.html,,Active Duty,Yes,USAF,
EDWARDS AFB,"34°55'25""N","117°53'29""W",11S MU 18582 64934,13B,13B (AIR BATTLE MANAGER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/13B.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,,Active Duty,Yes,USAF,
EGLIN AFB,"30°27'49""N","86°33'11""W",16R EU 42905 70243,13B,13B (AIR BATTLE MANAGER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/13B.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EGLIN_AFB.html,,Active Duty,Yes,USAF,
EIELSON AFB,"64°39'52""N","147°05'45""W",6W VS 95424 71061,13B,13B (AIR BATTLE MANAGER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/13B.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EIELSON_AFB.html,,Active Duty,Yes,USAF,
ELLSWORTH AFB,"44°08'54""N","103°05'15""W",13T FJ 52951 90126,13B,13B (AIR BATTLE MANAGER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/13B.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ELLSWORTH_AFB.html,,Active Duty,Yes,USAF,
FT IRWIN AIN,"35°22'60.00""N","116°34'60.00""W",,13B,13B (AIR BATTLE MANAGER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/13B.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_FT_IRWIN.html,,Active Duty,No,USAF,Note: Army base websites may be blocked on MissionNet.
GEILENKIRCHEN AB,"50°57'39.00""N","6°2'30.00""E",,13B,13B (AIR BATTLE MANAGER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/13B.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_GEILENKIRCHEN_AB.html,,Active Duty,No,USAF,
HILL AFB,"41°06'36""N","111°58'56""W",12T VL 17530 51433,13B,13B (AIR BATTLE MANAGER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/13B.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_HILL_AFB.html,,Active Duty,Yes,USAF,
HURLBURT FIELD,"30°25'23""N","86°41'41""W",16R EU 29317 65704,13B,13B (AIR BATTLE MANAGER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/13B.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_HURLBURT_FIELD.html,,Active Duty,Yes,USAF,
JB ANACOSTIA-BOLLING,"38°50'29""N","77°01'05""W",18S UJ 24855 01110,13B,13B (AIR BATTLE MANAGER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/13B.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_JB_ANACOSTIA-BOLLING.html,,Active Duty,Yes,USAF,
JB ELMENDORF-RICHARDSON,"61°15'44""N","149°41'53""W",6V UN 55306 94983,13B,13B (AIR BATTLE MANAGER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/13B.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_JB_ELMENDORF-RICHARDSON.html,,Active Duty,Yes,USAF,
JB LANGLEY-EUSTIS,"37°05'00""N","76°21'33""W",18S UG 79195 04980,13B,13B (AIR BATTLE MANAGER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/13B.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_JB_LANGLEY-EUSTIS.html,,Active Duty,Yes,USAF,
JB LEWIS-MCCHORD,"47°05'30""N","122°36'53""W",10T ET 29240 15422,13B,13B (AIR BATTLE MANAGER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/13B.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_JB_LEWIS-MCCHORD.html,,Active Duty,Yes,USAF,
JB PEARL HARBOR-HICKAM,"21°20'15""N","157°57'43""W",4Q FJ 07643 59855,13B,13B (AIR BATTLE MANAGER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/13B.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_JB_PEARL_HARBOR-HICKAM.html,,Active Duty,Yes,USAF,
KADENA AB,"26°21'30""N","127°46'20""E",52R CQ 77496 15950,13B,13B (AIR BATTLE MANAGER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/13B.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_KADENA_AB.html,,Active Duty,Yes,USAF,
KIRTLAND AFB,"35°00'39""N","106°30'44""W",13S CU 62019 75289,13B,13B (AIR BATTLE MANAGER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/13B.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_KIRTLAND_AFB.html,,Active Duty,Yes,USAF,
LUKE AFB,"33°32'22""N","112°22'32""W",12S UC 72284 11939,13B,13B (AIR BATTLE MANAGER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/13B.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_LUKE_AFB.html,,Active Duty,Yes,USAF,
MCCONNELL AFB,"37°37'51""N","97°15'06""W",14S PG 54271 66293,13B,13B (AIR BATTLE MANAGER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/13B.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_MCCONNELL_AFB.html,,Active Duty,Yes,USAF,
MISAWA AB,"40°41'55""N","141°22'28""E",54T WL 31634 05368,13B,13B (AIR BATTLE MANAGER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/13B.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_MISAWA_AB.html,,Active Duty,Yes,USAF,
MOUNTAIN HOME AFB,"43°03'59""N","115°51'18""W",11T NH 93226 68823,13B,13B (AIR BATTLE MANAGER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/13B.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_MOUNTAIN_HOME_AFB.html,,Active Duty,Yes,USAF,
NELLIS AFB,"36°14'25""N","115°03'14""W",11S PA 74874 12355,13B,13B (AIR BATTLE MANAGER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/13B.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_NELLIS_AFB.html,,Active Duty,Yes,USAF,
NO BAY ASN,"46°22'0.00""N","79°25'0.00""W",,13B,13B (AIR BATTLE MANAGER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/13B.html,,,Active Duty,No,USAF,
OSAN AB,"37°05'19""N","127°01'50""E",52S CG 24960 06516,13B,13B (AIR BATTLE MANAGER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/13B.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_OSAN_AB.html,,Active Duty,Yes,USAF,
PENTAGON,"38°52'15""N","77°03'21""W",18S UJ 21650 04451,13B,13B (AIR BATTLE MANAGER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/13B.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_PENTAGON.html,,Active Duty,Yes,USAF,
PETERSON SFB,"38°49'32""N","104°41'58""W",13S EC 26089 97461,13B,13B (AIR BATTLE MANAGER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/13B.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_PETERSON_SFB.html,,Active Duty,Yes,USAF,
POGGIO RENATICO (ITALY),"44°46'0.00""N","11°28'60.00""E",,13B,13B (AIR BATTLE MANAGER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/13B.html,,,Active Duty,No,USAF,
RAMSTEIN AB,"49°26'23""N","7°35'47""E",32U LV 98244 77286,13B,13B (AIR BATTLE MANAGER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/13B.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_RAMSTEIN_AB.html.html,,Active Duty,Yes,USAF,
ROBINS AFB,"32°38'23""N","83°35'30""W",17S KS 56883 14314,13B,13B (AIR BATTLE MANAGER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/13B.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ROBINS_AFB.html,,Active Duty,Yes,USAF,
SHAW AFB,"33°58'02""N","80°29'05""W",17S NT 47603 58641,13B,13B (AIR BATTLE MANAGER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/13B.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_SHAW_AFB.html,,Active Duty,Yes,USAF,
TINKER AFB,"35°25'09""N","97°24'15""W",14S PE 44882 20698,13B,13B (AIR BATTLE MANAGER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/13B.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_TINKER_AFB.html,,Active Duty,Yes,USAF,
TYNDALL AFB,"30°04'47""N","85°36'26""W",16R FU 34229 28437,13B,13B (AIR BATTLE MANAGER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/13B.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_TYNDALL_AFB.html,,Active Duty,Yes,USAF,
USAF ACADEMY,"39°0'0.00""N","104°52'60.00""W",,13B,13B (AIR BATTLE MANAGER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/13B.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_USAF_ACADEMY.html,,Active Duty,No,USAF,
WHEELER AAF,"21°29'1.00""N","158°2'23.00""W",,13B,13B (AIR BATTLE MANAGER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/13B.html,,,Active Duty,No,USAF,
YOKOTA AB,"35°44'35""N","139°20'23""E",54S UE 49872 56720,13B,13B (AIR BATTLE MANAGER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/13B.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_YOKOTA_AB.html,,Active Duty,Yes,USAF,
ANDREWS JB,"38°47'46""N","76°53'00""W",18S UH 36445 95835,13H,13H (AEROSPACE PHYSIOLOGIST),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/13H.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ANDREWS_JB.html,,Active Duty,Yes,USAF,
AVIANO AB,"46°01'49""N","12°36'41""E",33T UM 15147 00185,13H,13H (AEROSPACE PHYSIOLOGIST),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/13H.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_AVIANO_AB.html,,Active Duty,Yes,USAF,
BARKSDALE AFB,"32°29'45""N","93°40'21""W",15S VR 36822 95596,13H,13H (AEROSPACE PHYSIOLOGIST),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/13H.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_BARKSDALE_AFB.html,,Active Duty,Yes,USAF,
