Base,Latitude,Longitude,MGRS,AFSC_Code,AFSC_Full_Name,PDF_URL,Base_URL,Aircraft,Base_Type,First_Duty_Station
ABBOTSFORD IAP,"49°1'9.00""N","122°22'48.00""W",,F011M3C,"ACFT SYS FLT EVAL, MOBILITY PILOT, C-130J",,,,Active Duty,No
ABERDEEN PROVING GROUND,"39°27'47.00""N","76°7'13.00""W",18S VJ 03627 68763,061C3,CHEMIST/NUCLEAR CHEMIST,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ABERDEEN_PROVING_GROUND.html,,Active Duty,Yes
ABERDEEN PROVING GROUND,"39°27'47.00""N","76°7'13.00""W",18S VJ 03627 68763,062E3G,"DEVELOPMENT ENGINEER, PROJECT",,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ABERDEEN_PROVING_GROUND.html,,Active Duty,Yes
ABERDEEN PROVING GROUND,"39°27'47.00""N","76°7'13.00""W",18S VJ 03627 68763,063A3,ACQUISITION MANAGER,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ABERDEEN_PROVING_GROUND.html,,Active Duty,Yes
ABRAHAM LINCOLN C JAP,"39°50'39.00""N","89°40'41.00""W",,092M0,HPSP MEDICAL STUDENT,,,,ANG,No
ABRAHAM LINCOLN C JAP,"39°50'39.00""N","89°40'41.00""W",,092T0,PILOT TRAINEE,,,,ANG,No
AKROTIRI AB,"34°35'20.76""N","32°58'55.95""E",,011R3J,"RECON SURVEIL EW PILOT, TR-1/U-2",,,,Active Duty,No
AKROTIRI AB,"34°35'20.76""N","32°58'55.95""E",,021A3,AIRCRAFT MAINTENANCE,,,,Active Duty,No
AL DHAFRA ABS,"24°14'23.00""N","54°32'58.00""E",,014N4,INTELLIGENCE,,,,Active Duty,No
AL DHAFRA ABS,"24°14'23.00""N","54°32'58.00""E",,016G4,AIR FORCE OPS STAFF OFFICER,,,,Active Duty,No
AL DHAFRA ABS,"24°14'23.00""N","54°32'58.00""E",,032E3G,"CIVIL ENGINEER, GENERAL ENG",,,,Active Duty,No
AL DHAFRA ABS,"24°14'23.00""N","54°32'58.00""E",,K011M3K,"INSTRUCTOR, MOBILITY PILOT, C-17",,,,Active Duty,No
AL DHAFRA ABS,"24°14'23.00""N","54°32'58.00""E",,K013B3B,"INSTRUCTOR, AIR BATTLE MANAGER, AWACS",,,,Active Duty,No
AL UDEID AB,"25°7'1.93""N","51°18'59.41""E",39R WH 31907 77962,013S3D,"SPACE OPERATIONS, SPACE BATTLE MANAGEMENT",,,,Active Duty,No
AL UDEID AB,"25°7'1.93""N","51°18'59.41""E",39R WH 31907 77962,014N3,INTELLIGENCE,,,,Active Duty,No
AL UDEID AB,"25°7'1.93""N","51°18'59.41""E",39R WH 31907 77962,014N4,INTELLIGENCE,,,,Active Duty,No
AL UDEID AB,"25°7'1.93""N","51°18'59.41""E",39R WH 31907 77962,016G4,AIR FORCE OPS STAFF OFFICER,,,,Active Duty,No
AL UDEID AB,"25°7'1.93""N","51°18'59.41""E",39R WH 31907 77962,017S3A,"CYBERSPACE EFFECTS OPERATIONS, OFFENSIVE CYBERSPACE OPERATOR",,,,Active Duty,No
AL UDEID AB,"25°7'1.93""N","51°18'59.41""E",39R WH 31907 77962,021R3,LOGISTICS READINESS,,,,Active Duty,No
AL UDEID AB,"25°7'1.93""N","51°18'59.41""E",39R WH 31907 77962,032E3C,"CIVIL ENGINEER, CIVIL ENG",,,,Active Duty,No
AL UDEID AB,"25°7'1.93""N","51°18'59.41""E",39R WH 31907 77962,032E3G,"CIVIL ENGINEER, GENERAL ENG",,,,Active Duty,No
AL UDEID AB,"25°7'1.93""N","51°18'59.41""E",39R WH 31907 77962,038F3,FORCE SUPPORT,,,,Active Duty,No
AL UDEID AB,"25°7'1.93""N","51°18'59.41""E",39R WH 31907 77962,051J3,JUDGE ADVOCATE,,,,Active Duty,No
AL UDEID AB,"25°7'1.93""N","51°18'59.41""E",39R WH 31907 77962,062E3G,"DEVELOPMENT ENGINEER, PROJECT",,,,Active Duty,No
AL UDEID AB,"25°7'1.93""N","51°18'59.41""E",39R WH 31907 77962,064P3,CONTRACTING,,,,Active Duty,No
AL UDEID AB,"25°7'1.93""N","51°18'59.41""E",39R WH 31907 77962,071S3,SPECIAL INVESTIGATIONS,,,,Active Duty,No
AL UDEID AB,"25°7'1.93""N","51°18'59.41""E",39R WH 31907 77962,C013S3D,"COMMANDER, SPACE OPERATIONS, SPACE BATTLE MANAGEMENT",,,,Active Duty,No
AL UDEID AB,"25°7'1.93""N","51°18'59.41""E",39R WH 31907 77962,C071S3,"COMMANDER, SPECIAL INVESTIGATIONS",,,,Active Duty,No
ALBACETE (SPAIN),"38°57'0.00""N","1°52'0.00""W",,012R3W,"RECON SURVEIL EW CSO, EWO, GENERAL",,,,Active Duty,No
ALBACETE (SPAIN),"38°57'0.00""N","1°52'0.00""W",,014N3,INTELLIGENCE,,,,Active Duty,No
ALBUQUERQUE (DETACHMENT),"35°4'60.00""N","106°39'0.00""W",,081T0,INSTRUCTOR,,,,ROTC,No
ALCONBURY RAF,"52°22'9.00""N","0°13'43.00""W",30U XD 88669 05714,014N3,INTELLIGENCE,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ALCONBURY_RAF.html,,Reserve,Yes
ALCONBURY RAF,"52°22'9.00""N","0°13'43.00""W",30U XD 88669 05714,017D3W,"WARFIGHTER COMM, WAR COMM",,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ALCONBURY_RAF.html,,Active Duty,Yes
ALCONBURY RAF,"52°22'9.00""N","0°13'43.00""W",30U XD 88669 05714,021R3,LOGISTICS READINESS,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ALCONBURY_RAF.html,,Active Duty,Yes
ALCONBURY RAF,"52°22'9.00""N","0°13'43.00""W",30U XD 88669 05714,031P3,SECURITY FORCES,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ALCONBURY_RAF.html,,Active Duty,Yes
ALCONBURY RAF,"52°22'9.00""N","0°13'43.00""W",30U XD 88669 05714,032E3G,"CIVIL ENGINEER, GENERAL ENG",,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ALCONBURY_RAF.html,,Active Duty,Yes
ALCONBURY RAF,"52°22'9.00""N","0°13'43.00""W",30U XD 88669 05714,032E4,CIVIL ENGINEER,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ALCONBURY_RAF.html,,Active Duty,Yes
ALCONBURY RAF,"52°22'9.00""N","0°13'43.00""W",30U XD 88669 05714,038F3,FORCE SUPPORT,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ALCONBURY_RAF.html,,Active Duty,Yes
ALCONBURY RAF,"52°22'9.00""N","0°13'43.00""W",30U XD 88669 05714,042S3,CLINICAL SOCIAL WORKER,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ALCONBURY_RAF.html,,Active Duty,Yes
ALCONBURY RAF,"52°22'9.00""N","0°13'43.00""W",30U XD 88669 05714,044F3,FAMILY PHYSICIAN,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ALCONBURY_RAF.html,,Active Duty,Yes
ALCONBURY RAF,"52°22'9.00""N","0°13'43.00""W",30U XD 88669 05714,046N3,CLINICAL NURSE,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ALCONBURY_RAF.html,,Active Duty,Yes
ALCONBURY RAF,"52°22'9.00""N","0°13'43.00""W",30U XD 88669 05714,047G3C,"DENTIST, GENERAL CLINICAL",,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ALCONBURY_RAF.html,,Active Duty,Yes
ALCONBURY RAF,"52°22'9.00""N","0°13'43.00""W",30U XD 88669 05714,052R3,CHAPLAIN,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ALCONBURY_RAF.html,,Active Duty,Yes
ALCONBURY RAF,"52°22'9.00""N","0°13'43.00""W",30U XD 88669 05714,088C0,SEXUAL ASSAULT RESPONSE COORDINATOR  (SARC),,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ALCONBURY_RAF.html,,Active Duty,Yes
ALEXANDRIA (DETACHMENT),"38°49'0.00""N","77°9'0.00""W",,015A3,"OPERATIONS ANALYSIS OFFICER, QUALIFIED",,,,Detachment,No
ALEXANDRIA (DETACHMENT),"38°49'0.00""N","77°9'0.00""W",,016G4,AIR FORCE OPS STAFF OFFICER,,,,Detachment,No
ALI AL SALEM ABS,"29°20'48.00""N","47°31'15.00""E",,C071S3,"COMMANDER, SPECIAL INVESTIGATIONS",,,,Active Duty,No
ALICE SPRINGS (AUSTRALIA),"23°41'59.94""S","133°51'59.94""E",,014N3,INTELLIGENCE,,,,Active Duty,No
ALTUS AFB,"34°39'18.00""N","99°17'4.00""W",14S MD 73935 34821,013M3,AIRFIELD OPERATIONS,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ALTUS_AFB.html,KC-135,Active Duty,Yes
ALTUS AFB,"34°39'18.00""N","99°17'4.00""W",14S MD 73935 34821,013M3,AIRFIELD OPERATIONS,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ALTUS_AFB.html,KC-46,Active Duty,Yes
ALTUS AFB,"34°39'18.00""N","99°17'4.00""W",14S MD 73935 34821,013M3,AIRFIELD OPERATIONS,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ALTUS_AFB.html,C-17,Active Duty,Yes
ALTUS AFB,"34°39'18.00""N","99°17'4.00""W",14S MD 73935 34821,014N3,INTELLIGENCE,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ALTUS_AFB.html,KC-135,Active Duty,Yes
ALTUS AFB,"34°39'18.00""N","99°17'4.00""W",14S MD 73935 34821,014N3,INTELLIGENCE,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ALTUS_AFB.html,KC-46,Active Duty,Yes
ALTUS AFB,"34°39'18.00""N","99°17'4.00""W",14S MD 73935 34821,014N3,INTELLIGENCE,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ALTUS_AFB.html,C-17,Active Duty,Yes
ALTUS AFB,"34°39'18.00""N","99°17'4.00""W",14S MD 73935 34821,015W3,WEATHER AND ENVIRONMENTAL SCIENCES,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ALTUS_AFB.html,KC-135,Active Duty,Yes
ALTUS AFB,"34°39'18.00""N","99°17'4.00""W",14S MD 73935 34821,015W3,WEATHER AND ENVIRONMENTAL SCIENCES,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ALTUS_AFB.html,KC-46,Active Duty,Yes
ALTUS AFB,"34°39'18.00""N","99°17'4.00""W",14S MD 73935 34821,015W3,WEATHER AND ENVIRONMENTAL SCIENCES,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ALTUS_AFB.html,C-17,Active Duty,Yes
ALTUS AFB,"34°39'18.00""N","99°17'4.00""W",14S MD 73935 34821,021R3,LOGISTICS READINESS,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ALTUS_AFB.html,KC-135,Active Duty,Yes
ALTUS AFB,"34°39'18.00""N","99°17'4.00""W",14S MD 73935 34821,021R3,LOGISTICS READINESS,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ALTUS_AFB.html,KC-46,Active Duty,Yes
ALTUS AFB,"34°39'18.00""N","99°17'4.00""W",14S MD 73935 34821,021R3,LOGISTICS READINESS,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ALTUS_AFB.html,C-17,Active Duty,Yes
ALTUS AFB,"34°39'18.00""N","99°17'4.00""W",14S MD 73935 34821,031P3,SECURITY FORCES,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ALTUS_AFB.html,KC-135,Active Duty,Yes
ALTUS AFB,"34°39'18.00""N","99°17'4.00""W",14S MD 73935 34821,031P3,SECURITY FORCES,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ALTUS_AFB.html,KC-46,Active Duty,Yes
ALTUS AFB,"34°39'18.00""N","99°17'4.00""W",14S MD 73935 34821,031P3,SECURITY FORCES,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ALTUS_AFB.html,C-17,Active Duty,Yes
ALTUS AFB,"34°39'18.00""N","99°17'4.00""W",14S MD 73935 34821,032E3B,"CIVIL ENGINEER, CBRN QUALIFIED ENGINEER",,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ALTUS_AFB.html,KC-135,Active Duty,Yes
ALTUS AFB,"34°39'18.00""N","99°17'4.00""W",14S MD 73935 34821,032E3B,"CIVIL ENGINEER, CBRN QUALIFIED ENGINEER",,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ALTUS_AFB.html,KC-46,Active Duty,Yes
ALTUS AFB,"34°39'18.00""N","99°17'4.00""W",14S MD 73935 34821,032E3B,"CIVIL ENGINEER, CBRN QUALIFIED ENGINEER",,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ALTUS_AFB.html,C-17,Active Duty,Yes
ALTUS AFB,"34°39'18.00""N","99°17'4.00""W",14S MD 73935 34821,032E3C,"CIVIL ENGINEER, CIVIL ENG",,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ALTUS_AFB.html,KC-135,Active Duty,Yes
ALTUS AFB,"34°39'18.00""N","99°17'4.00""W",14S MD 73935 34821,032E3C,"CIVIL ENGINEER, CIVIL ENG",,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ALTUS_AFB.html,KC-46,Active Duty,Yes
ALTUS AFB,"34°39'18.00""N","99°17'4.00""W",14S MD 73935 34821,032E3C,"CIVIL ENGINEER, CIVIL ENG",,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ALTUS_AFB.html,C-17,Active Duty,Yes
ALTUS AFB,"34°39'18.00""N","99°17'4.00""W",14S MD 73935 34821,032E3E,"CIVIL ENGINEER, ELECTRICAL ENG",,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ALTUS_AFB.html,KC-135,Active Duty,Yes
ALTUS AFB,"34°39'18.00""N","99°17'4.00""W",14S MD 73935 34821,032E3E,"CIVIL ENGINEER, ELECTRICAL ENG",,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ALTUS_AFB.html,KC-46,Active Duty,Yes
ALTUS AFB,"34°39'18.00""N","99°17'4.00""W",14S MD 73935 34821,032E3E,"CIVIL ENGINEER, ELECTRICAL ENG",,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ALTUS_AFB.html,C-17,Active Duty,Yes
ALTUS AFB,"34°39'18.00""N","99°17'4.00""W",14S MD 73935 34821,032E3F,"CIVIL ENGINEER, MECHANICAL ENG",,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ALTUS_AFB.html,KC-135,Active Duty,Yes
ALTUS AFB,"34°39'18.00""N","99°17'4.00""W",14S MD 73935 34821,032E3F,"CIVIL ENGINEER, MECHANICAL ENG",,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ALTUS_AFB.html,KC-46,Active Duty,Yes
ALTUS AFB,"34°39'18.00""N","99°17'4.00""W",14S MD 73935 34821,032E3F,"CIVIL ENGINEER, MECHANICAL ENG",,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ALTUS_AFB.html,C-17,Active Duty,Yes
ALTUS AFB,"34°39'18.00""N","99°17'4.00""W",14S MD 73935 34821,032E3G,"CIVIL ENGINEER, GENERAL ENG",,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ALTUS_AFB.html,KC-135,Active Duty,Yes
ALTUS AFB,"34°39'18.00""N","99°17'4.00""W",14S MD 73935 34821,032E3G,"CIVIL ENGINEER, GENERAL ENG",,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ALTUS_AFB.html,KC-46,Active Duty,Yes
ALTUS AFB,"34°39'18.00""N","99°17'4.00""W",14S MD 73935 34821,032E3G,"CIVIL ENGINEER, GENERAL ENG",,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ALTUS_AFB.html,C-17,Active Duty,Yes
ALTUS AFB,"34°39'18.00""N","99°17'4.00""W",14S MD 73935 34821,035P3,PUBLIC AFFAIRS,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ALTUS_AFB.html,KC-135,Active Duty,Yes
ALTUS AFB,"34°39'18.00""N","99°17'4.00""W",14S MD 73935 34821,035P3,PUBLIC AFFAIRS,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ALTUS_AFB.html,KC-46,Active Duty,Yes
ALTUS AFB,"34°39'18.00""N","99°17'4.00""W",14S MD 73935 34821,035P3,PUBLIC AFFAIRS,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ALTUS_AFB.html,C-17,Active Duty,Yes
ALTUS AFB,"34°39'18.00""N","99°17'4.00""W",14S MD 73935 34821,038F3Q,"FORCE SUPPORT, SECTION COMMANDER",,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ALTUS_AFB.html,KC-135,Active Duty,Yes
ALTUS AFB,"34°39'18.00""N","99°17'4.00""W",14S MD 73935 34821,038F3Q,"FORCE SUPPORT, SECTION COMMANDER",,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ALTUS_AFB.html,KC-46,Active Duty,Yes
ALTUS AFB,"34°39'18.00""N","99°17'4.00""W",14S MD 73935 34821,038F3Q,"FORCE SUPPORT, SECTION COMMANDER",,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ALTUS_AFB.html,C-17,Active Duty,Yes
ALTUS AFB,"34°39'18.00""N","99°17'4.00""W",14S MD 73935 34821,041A3,HEALTHCARE ADMIN,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ALTUS_AFB.html,KC-135,Active Duty,Yes
ALTUS AFB,"34°39'18.00""N","99°17'4.00""W",14S MD 73935 34821,041A3,HEALTHCARE ADMIN,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ALTUS_AFB.html,KC-46,Active Duty,Yes
ALTUS AFB,"34°39'18.00""N","99°17'4.00""W",14S MD 73935 34821,041A3,HEALTHCARE ADMIN,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ALTUS_AFB.html,C-17,Active Duty,Yes
ALTUS AFB,"34°39'18.00""N","99°17'4.00""W",14S MD 73935 34821,042B3,PHYSICAL THERAPIST,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ALTUS_AFB.html,KC-135,Active Duty,Yes
ALTUS AFB,"34°39'18.00""N","99°17'4.00""W",14S MD 73935 34821,042B3,PHYSICAL THERAPIST,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ALTUS_AFB.html,KC-46,Active Duty,Yes
ALTUS AFB,"34°39'18.00""N","99°17'4.00""W",14S MD 73935 34821,042B3,PHYSICAL THERAPIST,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ALTUS_AFB.html,C-17,Active Duty,Yes
ALTUS AFB,"34°39'18.00""N","99°17'4.00""W",14S MD 73935 34821,042G3,PHYSICIAN ASSISTANT,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ALTUS_AFB.html,KC-135,Active Duty,Yes
ALTUS AFB,"34°39'18.00""N","99°17'4.00""W",14S MD 73935 34821,042G3,PHYSICIAN ASSISTANT,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ALTUS_AFB.html,KC-46,Active Duty,Yes
ALTUS AFB,"34°39'18.00""N","99°17'4.00""W",14S MD 73935 34821,042G3,PHYSICIAN ASSISTANT,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ALTUS_AFB.html,C-17,Active Duty,Yes
ALTUS AFB,"34°39'18.00""N","99°17'4.00""W",14S MD 73935 34821,042G3P,"PHYSICIAN ASSISTANT, QUALIFIED, AEROMEDICAL",,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ALTUS_AFB.html,KC-135,Active Duty,Yes
ALTUS AFB,"34°39'18.00""N","99°17'4.00""W",14S MD 73935 34821,042G3P,"PHYSICIAN ASSISTANT, QUALIFIED, AEROMEDICAL",,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ALTUS_AFB.html,KC-46,Active Duty,Yes
ALTUS AFB,"34°39'18.00""N","99°17'4.00""W",14S MD 73935 34821,042G3P,"PHYSICIAN ASSISTANT, QUALIFIED, AEROMEDICAL",,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ALTUS_AFB.html,C-17,Active Duty,Yes
ALTUS AFB,"34°39'18.00""N","99°17'4.00""W",14S MD 73935 34821,042P3,CLINICAL PSYCHOLOGIST,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ALTUS_AFB.html,KC-135,Active Duty,Yes
ALTUS AFB,"34°39'18.00""N","99°17'4.00""W",14S MD 73935 34821,042P3,CLINICAL PSYCHOLOGIST,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ALTUS_AFB.html,KC-46,Active Duty,Yes
ALTUS AFB,"34°39'18.00""N","99°17'4.00""W",14S MD 73935 34821,042P3,CLINICAL PSYCHOLOGIST,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ALTUS_AFB.html,C-17,Active Duty,Yes
ALTUS AFB,"34°39'18.00""N","99°17'4.00""W",14S MD 73935 34821,042S3,CLINICAL SOCIAL WORKER,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ALTUS_AFB.html,KC-135,Active Duty,Yes
ALTUS AFB,"34°39'18.00""N","99°17'4.00""W",14S MD 73935 34821,042S3,CLINICAL SOCIAL WORKER,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ALTUS_AFB.html,KC-46,Active Duty,Yes
ALTUS AFB,"34°39'18.00""N","99°17'4.00""W",14S MD 73935 34821,042S3,CLINICAL SOCIAL WORKER,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ALTUS_AFB.html,C-17,Active Duty,Yes
ALTUS AFB,"34°39'18.00""N","99°17'4.00""W",14S MD 73935 34821,043E3A,"BIOENVIRONMENTAL ENGINEER, GENERAL",,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ALTUS_AFB.html,KC-135,Active Duty,Yes
ALTUS AFB,"34°39'18.00""N","99°17'4.00""W",14S MD 73935 34821,043E3A,"BIOENVIRONMENTAL ENGINEER, GENERAL",,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ALTUS_AFB.html,KC-46,Active Duty,Yes
ALTUS AFB,"34°39'18.00""N","99°17'4.00""W",14S MD 73935 34821,043E3A,"BIOENVIRONMENTAL ENGINEER, GENERAL",,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ALTUS_AFB.html,C-17,Active Duty,Yes
ALTUS AFB,"34°39'18.00""N","99°17'4.00""W",14S MD 73935 34821,043P3,PHARMACIST,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ALTUS_AFB.html,KC-135,Active Duty,Yes
ALTUS AFB,"34°39'18.00""N","99°17'4.00""W",14S MD 73935 34821,043P3,PHARMACIST,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ALTUS_AFB.html,KC-46,Active Duty,Yes
ALTUS AFB,"34°39'18.00""N","99°17'4.00""W",14S MD 73935 34821,043P3,PHARMACIST,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ALTUS_AFB.html,C-17,Active Duty,Yes
ALTUS AFB,"34°39'18.00""N","99°17'4.00""W",14S MD 73935 34821,043T3A,"BIOMEDICAL LAB, BIOMEDICAL LAB SCIENCE",,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ALTUS_AFB.html,KC-135,Active Duty,Yes
ALTUS AFB,"34°39'18.00""N","99°17'4.00""W",14S MD 73935 34821,043T3A,"BIOMEDICAL LAB, BIOMEDICAL LAB SCIENCE",,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ALTUS_AFB.html,KC-46,Active Duty,Yes
ALTUS AFB,"34°39'18.00""N","99°17'4.00""W",14S MD 73935 34821,043T3A,"BIOMEDICAL LAB, BIOMEDICAL LAB SCIENCE",,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ALTUS_AFB.html,C-17,Active Duty,Yes
ALTUS AFB,"34°39'18.00""N","99°17'4.00""W",14S MD 73935 34821,044F3,FAMILY PHYSICIAN,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ALTUS_AFB.html,KC-135,Active Duty,Yes
ALTUS AFB,"34°39'18.00""N","99°17'4.00""W",14S MD 73935 34821,044F3,FAMILY PHYSICIAN,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ALTUS_AFB.html,KC-46,Active Duty,Yes
ALTUS AFB,"34°39'18.00""N","99°17'4.00""W",14S MD 73935 34821,044F3,FAMILY PHYSICIAN,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ALTUS_AFB.html,C-17,Active Duty,Yes
ALTUS AFB,"34°39'18.00""N","99°17'4.00""W",14S MD 73935 34821,044K3,PEDIATRICIAN,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ALTUS_AFB.html,KC-135,Active Duty,Yes
ALTUS AFB,"34°39'18.00""N","99°17'4.00""W",14S MD 73935 34821,044K3,PEDIATRICIAN,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ALTUS_AFB.html,KC-46,Active Duty,Yes
ALTUS AFB,"34°39'18.00""N","99°17'4.00""W",14S MD 73935 34821,044K3,PEDIATRICIAN,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ALTUS_AFB.html,C-17,Active Duty,Yes
ALTUS AFB,"34°39'18.00""N","99°17'4.00""W",14S MD 73935 34821,046N3,CLINICAL NURSE,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ALTUS_AFB.html,KC-135,Active Duty,Yes
ALTUS AFB,"34°39'18.00""N","99°17'4.00""W",14S MD 73935 34821,046N3,CLINICAL NURSE,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ALTUS_AFB.html,KC-46,Active Duty,Yes
ALTUS AFB,"34°39'18.00""N","99°17'4.00""W",14S MD 73935 34821,046N3,CLINICAL NURSE,,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ALTUS_AFB.html,C-17,Active Duty,Yes
ALTUS AFB,"34°39'18.00""N","99°17'4.00""W",14S MD 73935 34821,047G3A,"DENTIST, COMPREHENSIVE",,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ALTUS_AFB.html,KC-135,Active Duty,Yes
ALTUS AFB,"34°39'18.00""N","99°17'4.00""W",14S MD 73935 34821,047G3A,"DENTIST, COMPREHENSIVE",,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ALTUS_AFB.html,KC-46,Active Duty,Yes
ALTUS AFB,"34°39'18.00""N","99°17'4.00""W",14S MD 73935 34821,047G3A,"DENTIST, COMPREHENSIVE",,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ALTUS_AFB.html,C-17,Active Duty,Yes
ALTUS AFB,"34°39'18.00""N","99°17'4.00""W",14S MD 73935 34821,047G3C,"DENTIST, GENERAL CLINICAL",,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ALTUS_AFB.html,KC-135,Active Duty,Yes
