afsc,grd,ilc_title,billet_count,afsc_title
B011G3,MAJOR,HOLLOMAN,1,"SQ OPS/OPS SPT OFF, GENERALIST PILOT"
B011H3C,LTCOL,F E WARREN,1,"SQ OPS/OPS SPT OFF, RESCUE PILOT, UH-1N"
B011H3C,LTCOL,JB ANDREWS,2,"SQ OPS/OPS SPT OFF, RESCUE PILOT, UH-1N"
B011H3C,MAJOR,F E WARREN,1,"SQ OPS/OPS SPT OFF, RESCUE PILOT, UH-1N"
B011H3C,MAJOR,FAIRCHILD,1,"SQ OPS/OPS SPT OFF, RESCUE PILOT, UH-1N"
B011H3C,MAJOR,KIRTLAND,2,"SQ OPS/OPS SPT OFF, RESCUE PILOT, UH-1N"
B011H3C,MAJOR,MALMSTROM,1,"SQ OPS/OPS SPT OFF, RESCUE PILOT, UH-1N"
B011H3C,MAJOR,MINOT,1,"SQ OPS/OPS SPT OFF, RESCUE PILOT, UH-1N"
B011H3E,LTCOL,AVIANO,1,"SQ OPS/OPS SPT OFF, RESCUE PILOT, HH-60"
B011H3E,LTCOL,DAVIS-MONTHAN,1,"SQ OPS/OPS SPT OFF, RESCUE PILOT, HH-60"
B011H3E,LTCOL,KADENA,1,"SQ OPS/OPS SPT OFF, RESCUE PILOT, HH-60"
B011H3E,LTCOL,MOODY,1,"SQ OPS/OPS SPT OFF, RESCUE PILOT, HH-60"
B011H3E,LTCOL,NELLIS,1,"SQ OPS/OPS SPT OFF, RESCUE PILOT, HH-60"
B011H3E,MAJOR,DATA MASKED,2,"SQ OPS/OPS SPT OFF, RESCUE PILOT, HH-60"
B011H3E,MAJOR,KIRTLAND,1,"SQ OPS/OPS SPT OFF, RESCUE PILOT, HH-60"
B011H3G,LTCOL,MALMSTROM,1,"SQ OPS/OPS SPT OFF, RESCUE PILOT, MH-139A, AIRCRAFT COMMANDER"
B011H3J,LTCOL,DAVIS-MONTHAN,1,"SQ OPS/OPS SPT OFF, RESCUE PILOT,  HC-130J"
B011H3J,LTCOL,MOODY,1,"SQ OPS/OPS SPT OFF, RESCUE PILOT,  HC-130J"
B011H3J,MAJOR,DAVIS-MONTHAN,1,"SQ OPS/OPS SPT OFF, RESCUE PILOT,  HC-130J"
B011H3J,MAJOR,KIRTLAND,1,"SQ OPS/OPS SPT OFF, RESCUE PILOT,  HC-130J"
B011H3P,LTCOL,KIRTLAND,1,"SQ OPS/OPS SPT OFF, RESCUE PILOT, HC-130 P/N"
B011H3W,LTCOL,DAVIS-MONTHAN,1,"SQ OPS/OPS SPT OFF, RESCUE PILOT, CSR, GENERAL"
B011H3W,LTCOL,MOODY,1,"SQ OPS/OPS SPT OFF, RESCUE PILOT, CSR, GENERAL"
B011H3Y,LTCOL,NELLIS,1,"SQ OPS/OPS SPT OFF, RESCUE PILOT, GENERAL"
B011H3Y,MAJOR,DUKE FIELD,1,"SQ OPS/OPS SPT OFF, RESCUE PILOT, GENERAL"
B011H3Y,MAJOR,FAIRCHILD,1,"SQ OPS/OPS SPT OFF, RESCUE PILOT, GENERAL"
B011H3Y,MAJOR,TYNDALL,1,"SQ OPS/OPS SPT OFF, RESCUE PILOT, GENERAL"
B011K3A,LTCOL,COLUMBUS,1,"SQ OPS/OPS SPT OFF, TRAINER PILOT, T-1"
B011K3A,LTCOL,VANCE,1,"SQ OPS/OPS SPT OFF, TRAINER PILOT, T-1"
B011K3A,MAJOR,LAUGHLIN,1,"SQ OPS/OPS SPT OFF, TRAINER PILOT, T-1"
B011K3D,LTCOL,JBSA RANDOLPH,1,"SQ OPS/OPS SPT OFF, TRAINER PILOT, T-38"
B011K3D,LTCOL,SHEPPARD,2,"SQ OPS/OPS SPT OFF, TRAINER PILOT, T-38"
B011K3D,LTCOL,VANCE,1,"SQ OPS/OPS SPT OFF, TRAINER PILOT, T-38"
B011K3D,MAJOR,COLUMBUS,1,"SQ OPS/OPS SPT OFF, TRAINER PILOT, T-38"
B011K3D,MAJOR,JBSA RANDOLPH,1,"SQ OPS/OPS SPT OFF, TRAINER PILOT, T-38"
B011K3D,MAJOR,LAUGHLIN,1,"SQ OPS/OPS SPT OFF, TRAINER PILOT, T-38"
B011K3D,MAJOR,WHITEMAN,1,"SQ OPS/OPS SPT OFF, TRAINER PILOT, T-38"
B011K3F,LTCOL,JBSA RANDOLPH,1,"SQ OPS/OPS SPT OFF, TRAINER PILOT, T-6"
B011K3F,LTCOL,LAUGHLIN,1,"SQ OPS/OPS SPT OFF, TRAINER PILOT, T-6"
B011K3F,LTCOL,PENSACOLA NAS CHE,1,"SQ OPS/OPS SPT OFF, TRAINER PILOT, T-6"
B011K3F,LTCOL,VANCE,1,"SQ OPS/OPS SPT OFF, TRAINER PILOT, T-6"
B011K3F,MAJOR,COLUMBUS,2,"SQ OPS/OPS SPT OFF, TRAINER PILOT, T-6"
B011K3F,MAJOR,LAUGHLIN,1,"SQ OPS/OPS SPT OFF, TRAINER PILOT, T-6"
B011K3F,MAJOR,SHEPPARD,2,"SQ OPS/OPS SPT OFF, TRAINER PILOT, T-6"
B011K3F,MAJOR,VANCE,1,"SQ OPS/OPS SPT OFF, TRAINER PILOT, T-6"
B011K3J,MAJOR,FT RUCKER,1,"SQ OPS/OPS SPT OFF, TRAINER PILOT, SUPT-H"
B011K3Q,MAJOR,JBSA RANDOLPH,1,"SQ OPS/OPS SPT OFF, TRAINER PILOT, T-7"
B011K3Y,LTCOL,COLUMBUS,1,"SQ OPS/OPS SPT OFF, TRAINER PILOT, GENERAL"
B011K3Y,LTCOL,JBSA RANDOLPH,1,"SQ OPS/OPS SPT OFF, TRAINER PILOT, GENERAL"
B011K3Y,LTCOL,LAUGHLIN,1,"SQ OPS/OPS SPT OFF, TRAINER PILOT, GENERAL"
B011K3Y,LTCOL,VANCE,2,"SQ OPS/OPS SPT OFF, TRAINER PILOT, GENERAL"
B011K3Y,MAJOR,COLUMBUS,1,"SQ OPS/OPS SPT OFF, TRAINER PILOT, GENERAL"
B011K3Y,MAJOR,JBSA RANDOLPH,1,"SQ OPS/OPS SPT OFF, TRAINER PILOT, GENERAL"
B011K3Y,MAJOR,LAUGHLIN,1,"SQ OPS/OPS SPT OFF, TRAINER PILOT, GENERAL"
