afsc,grd,ilc_title,billet_count,afsc_title
C011E3Y,LTCOL,NELLIS,1,"COMMANDER, EXPER TEST PILOT, GENERAL"
C011E3Z,LTCOL,WACO,1,"COMMANDER, EXPER TEST PILOT, OTHER"
C011F3B,LTCOL,DAVIS-MONTHAN,1,"COMMANDER, FIGHTER PILOT, A-10"
C011F3B,LTCOL,MOODY,3,"COMMANDER, FIGHTER PILOT, A-10"
C011F3B,LTCOL,NELLIS,3,"COMMANDER, FIGHTER PILOT, A-10"
C011F3B,LTCOL,OSAN AB,1,"COMMANDER, FIGHTER PILOT, A-10"
C011F3B,LTCOL,WHITEMAN,1,"COMMANDER, FIGHTER PILOT, A-10"
C011F3F,LTCOL,KADENA,3,"COMMANDER, FIGHTER PILOT, F-15"
C011F3F,LTCOL,KINGSLEY,1,"COMMANDER, FIGHTER PILOT, F-15"
C011F3G,LTCOL,JB LANGLEY-EUSTIS,1,"COMMANDER, FIGHTER PILOT, F-15E"
C011F3G,LTCOL,LAKENHEATH,2,"COMMANDER, FIGHTER PILOT, F-15E"
C011F3G,LTCOL,MOUNTAIN HOME,3,"COMMANDER, FIGHTER PILOT, F-15E"
C011F3G,LTCOL,NELLIS,1,"COMMANDER, FIGHTER PILOT, F-15E"
C011F3G,LTCOL,SEYMOUR JOHNSON,4,"COMMANDER, FIGHTER PILOT, F-15E"
C011F3H,LTCOL,ATLANTIC CITY MUN,1,"COMMANDER, FIGHTER PILOT, F-16"
C011F3H,LTCOL,AVIANO,2,"COMMANDER, FIGHTER PILOT, F-16"
C011F3H,LTCOL,BUCKLEY,1,"COMMANDER, FIGHTER PILOT, F-16"
C011F3H,LTCOL,EIELSON,1,"COMMANDER, FIGHTER PILOT, F-16"
C011F3H,LTCOL,HOLLOMAN,4,"COMMANDER, FIGHTER PILOT, F-16"
C011F3H,LTCOL,HOMESTEAD,1,"COMMANDER, FIGHTER PILOT, F-16"
C011F3H,LTCOL,JB ANDREWS,1,"COMMANDER, FIGHTER PILOT, F-16"
C011F3H,LTCOL,KUNSAN,3,"COMMANDER, FIGHTER PILOT, F-16"
C011F3H,LTCOL,LUKE,2,"COMMANDER, FIGHTER PILOT, F-16"
C011F3H,LTCOL,MCENTIRE,1,"COMMANDER, FIGHTER PILOT, F-16"
C011F3H,LTCOL,MISAWA,2,"COMMANDER, FIGHTER PILOT, F-16"
C011F3H,LTCOL,MORRIS,1,"COMMANDER, FIGHTER PILOT, F-16"
C011F3H,LTCOL,NELLIS,3,"COMMANDER, FIGHTER PILOT, F-16"
C011F3H,LTCOL,OSAN AB,1,"COMMANDER, FIGHTER PILOT, F-16"
C011F3H,LTCOL,SHAW,4,"COMMANDER, FIGHTER PILOT, F-16"
