Base,Latitude,Longitude,MGRS,AFSC_Code,AFSC_Full_Name,PDF_URL,Base_URL
ALTUS AFB,"34°39'18""N","99°17'04""W",14S MD 73935 34821,21R1,21R1 (LOGISTICS READINESS),https://paladindanse111.github.io/AFSC-PDFs/21R.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_ALTUS_AFB.html
ALTUS AFB,"34°39'18""N","99°17'04""W",14S MD 73935 34821,32E1A,32E1A (CIVIL ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/32E.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_ALTUS_AFB.html
ALTUS AFB,"34°39'18""N","99°17'04""W",14S MD 73935 34821,32E1C,32E1C (CIVIL ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/32E.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_ALTUS_AFB.html
ALTUS AFB,"34°39'18""N","99°17'04""W",14S MD 73935 34821,32E1E,32E1E (CIVIL ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/32E.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_ALTUS_AFB.html
ALTUS AFB,"34°39'18""N","99°17'04""W",14S MD 73935 34821,32E1F,32E1F (CIVIL ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/32E.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_ALTUS_AFB.html
ALTUS AFB,"34°39'18""N","99°17'04""W",14S MD 73935 34821,32E1G,32E1G (CIVIL ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/32E.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_ALTUS_AFB.html
ALTUS AFB,"34°39'18""N","99°17'04""W",14S MD 73935 34821,32E1J,32E1J (CIVIL ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/32E.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_ALTUS_AFB.html
ALTUS AFB,"34°39'18""N","99°17'04""W",14S MD 73935 34821,35P1,35P1 (PUBLIC AFFAIRS),https://paladindanse111.github.io/AFSC-PDFs/35P.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_ALTUS_AFB.html
ALTUS AFB,"34°39'18""N","99°17'04""W",14S MD 73935 34821,64P1,64P1 (CONTRACTING),https://paladindanse111.github.io/AFSC-PDFs/64P.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_ALTUS_AFB.html
ALTUS AFB,"34°39'18""N","99°17'04""W",14S MD 73935 34821,65F1,65F1 (FINANCIAL MANAGEMENT),https://paladindanse111.github.io/AFSC-PDFs/65F.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_ALTUS_AFB.html
ANDERSEN AFB,"13°33'46""N","144°55'25""E",55P BR 75307 00327,15W1,15W1 (WEATHER AND ENVIRONMENTAL SCIENCES),https://paladindanse111.github.io/AFSC-PDFs/15W.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_ANDERSEN_AFB.html
ANDERSEN AFB,"13°33'46""N","144°55'25""E",55P BR 75307 00327,21M1,21M1 (MUNITIONS AND MISSILE MAINTENANCE),https://paladindanse111.github.io/AFSC-PDFs/21M.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_ANDERSEN_AFB.html
ANDERSEN AFB,"13°33'46""N","144°55'25""E",55P BR 75307 00327,21R1,21R1 (LOGISTICS READINESS),https://paladindanse111.github.io/AFSC-PDFs/21R.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_ANDERSEN_AFB.html
ANDERSEN AFB,"13°33'46""N","144°55'25""E",55P BR 75307 00327,32E1A,32E1A (CIVIL ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/32E.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_ANDERSEN_AFB.html
ANDERSEN AFB,"13°33'46""N","144°55'25""E",55P BR 75307 00327,32E1C,32E1C (CIVIL ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/32E.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_ANDERSEN_AFB.html
ANDERSEN AFB,"13°33'46""N","144°55'25""E",55P BR 75307 00327,32E1E,32E1E (CIVIL ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/32E.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_ANDERSEN_AFB.html
ANDERSEN AFB,"13°33'46""N","144°55'25""E",55P BR 75307 00327,32E1F,32E1F (CIVIL ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/32E.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_ANDERSEN_AFB.html
ANDERSEN AFB,"13°33'46""N","144°55'25""E",55P BR 75307 00327,32E1G,32E1G (CIVIL ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/32E.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_ANDERSEN_AFB.html
ANDERSEN AFB,"13°33'46""N","144°55'25""E",55P BR 75307 00327,32E1J,32E1J (CIVIL ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/32E.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_ANDERSEN_AFB.html
ANDERSEN AFB,"13°33'46""N","144°55'25""E",55P BR 75307 00327,64P1,64P1 (CONTRACTING),https://paladindanse111.github.io/AFSC-PDFs/64P.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_ANDERSEN_AFB.html
ANDERSEN AFB,"13°33'46""N","144°55'25""E",55P BR 75307 00327,65F1,65F1 (FINANCIAL MANAGEMENT),https://paladindanse111.github.io/AFSC-PDFs/65F.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_ANDERSEN_AFB.html
ANDREWS JB,"38°47'46""N","76°53'00""W",18S UH 36445 95835,13H1,13H1 (AEROSPACE PHYSIOLOGIST),https://paladindanse111.github.io/AFSC-PDFs/13H.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_ANDREWS_JB.html
ANDREWS JB,"38°47'46""N","76°53'00""W",18S UH 36445 95835,21R1,21R1 (LOGISTICS READINESS),https://paladindanse111.github.io/AFSC-PDFs/21R.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_ANDREWS_JB.html
ANDREWS JB,"38°47'46""N","76°53'00""W",18S UH 36445 95835,31P1,31P1 (SECURITY FORCES),https://paladindanse111.github.io/AFSC-PDFs/31P.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_ANDREWS_JB.html
ANDREWS JB,"38°47'46""N","76°53'00""W",18S UH 36445 95835,32E1A,32E1A (CIVIL ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/32E.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_ANDREWS_JB.html
ANDREWS JB,"38°47'46""N","76°53'00""W",18S UH 36445 95835,32E1C,32E1C (CIVIL ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/32E.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_ANDREWS_JB.html
ANDREWS JB,"38°47'46""N","76°53'00""W",18S UH 36445 95835,32E1E,32E1E (CIVIL ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/32E.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_ANDREWS_JB.html
ANDREWS JB,"38°47'46""N","76°53'00""W",18S UH 36445 95835,32E1F,32E1F (CIVIL ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/32E.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_ANDREWS_JB.html
ANDREWS JB,"38°47'46""N","76°53'00""W",18S UH 36445 95835,32E1G,32E1G (CIVIL ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/32E.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_ANDREWS_JB.html
ANDREWS JB,"38°47'46""N","76°53'00""W",18S UH 36445 95835,32E1J,32E1J (CIVIL ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/32E.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_ANDREWS_JB.html
ANDREWS JB,"38°47'46""N","76°53'00""W",18S UH 36445 95835,35P1,35P1 (PUBLIC AFFAIRS),https://paladindanse111.github.io/AFSC-PDFs/35P.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_ANDREWS_JB.html
ANDREWS JB,"38°47'46""N","76°53'00""W",18S UH 36445 95835,38F1,38F1 (FORCE SUPPORT),https://paladindanse111.github.io/AFSC-PDFs/38F.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_ANDREWS_JB.html
ANDREWS JB,"38°47'46""N","76°53'00""W",18S UH 36445 95835,64P1,64P1 (CONTRACTING),https://paladindanse111.github.io/AFSC-PDFs/64P.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_ANDREWS_JB.html
ANDREWS JB,"38°47'46""N","76°53'00""W",18S UH 36445 95835,65F1,65F1 (FINANCIAL MANAGEMENT),https://paladindanse111.github.io/AFSC-PDFs/65F.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_ANDREWS_JB.html
ANDREWS JB,"38°47'46""N","76°53'00""W",18S UH 36445 95835,71S1,71S1 (SPECIAL INVESTIGATIONS),https://paladindanse111.github.io/AFSC-PDFs/71S.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_ANDREWS_JB.html
ARLINGTON,"38° 55' 0""N","77° 10' 0""W",18S UJ 12155 09760,63A1,63A1 (DEVELOPMENTAL ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/63A.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_ARLINGTON.html
ARNOLD AFB,"35°22'58""N","86°01'49""W",16S EE 88076 15924,61D1,61D1 (PHYSICIST/NUCLEAR ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/61D.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_ARNOLD_AFB.html
ARNOLD AFB,"35°22'58""N","86°01'49""W",16S EE 88076 15924,62E1A,62E1A (DEVELOPMENTAL ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/62E.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_ARNOLD_AFB.html
ARNOLD AFB,"35°22'58""N","86°01'49""W",16S EE 88076 15924,62E1B,62E1B (DEVELOPMENTAL ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/62E.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_ARNOLD_AFB.html
ARNOLD AFB,"35°22'58""N","86°01'49""W",16S EE 88076 15924,62E1C,62E1C (DEVELOPMENTAL ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/62E.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_ARNOLD_AFB.html
ARNOLD AFB,"35°22'58""N","86°01'49""W",16S EE 88076 15924,62E1E,62E1E (DEVELOPMENTAL ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/62E.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_ARNOLD_AFB.html
ARNOLD AFB,"35°22'58""N","86°01'49""W",16S EE 88076 15924,62E1H,62E1H (DEVELOPMENTAL ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/62E.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_ARNOLD_AFB.html
ARNOLD AFB,"35°22'58""N","86°01'49""W",16S EE 88076 15924,63A1,63A1 (DEVELOPMENTAL ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/63A.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_ARNOLD_AFB.html
ARNOLD AFB,"35°22'58""N","86°01'49""W",16S EE 88076 15924,65F1,65F1 (FINANCIAL MANAGEMENT),https://paladindanse111.github.io/AFSC-PDFs/65F.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_ARNOLD_AFB.html
AVIANO AB,"46°01'49""N","12°36'41""E",33T UM 15147 00185,21A1,21A1 (AIRCRAFT MAINTENANCE),https://paladindanse111.github.io/AFSC-PDFs/21A.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_AVIANO_AB.html
AVIANO AB,"46°01'49""N","12°36'41""E",33T UM 15147 00185,21M1,21M1 (MUNITIONS AND MISSILE MAINTENANCE),https://paladindanse111.github.io/AFSC-PDFs/21M.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_AVIANO_AB.html
AVIANO AB,"46°01'49""N","12°36'41""E",33T UM 15147 00185,21R1,21R1 (LOGISTICS READINESS),https://paladindanse111.github.io/AFSC-PDFs/21R.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_AVIANO_AB.html
AVIANO AB,"46°01'49""N","12°36'41""E",33T UM 15147 00185,31P1,31P1 (SECURITY FORCES),https://paladindanse111.github.io/AFSC-PDFs/31P.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_AVIANO_AB.html
AVIANO AB,"46°01'49""N","12°36'41""E",33T UM 15147 00185,32E1A,32E1A (CIVIL ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/32E.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_AVIANO_AB.html
AVIANO AB,"46°01'49""N","12°36'41""E",33T UM 15147 00185,32E1C,32E1C (CIVIL ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/32E.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_AVIANO_AB.html
AVIANO AB,"46°01'49""N","12°36'41""E",33T UM 15147 00185,32E1E,32E1E (CIVIL ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/32E.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_AVIANO_AB.html
AVIANO AB,"46°01'49""N","12°36'41""E",33T UM 15147 00185,32E1F,32E1F (CIVIL ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/32E.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_AVIANO_AB.html
AVIANO AB,"46°01'49""N","12°36'41""E",33T UM 15147 00185,32E1G,32E1G (CIVIL ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/32E.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_AVIANO_AB.html
AVIANO AB,"46°01'49""N","12°36'41""E",33T UM 15147 00185,32E1J,32E1J (CIVIL ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/32E.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_AVIANO_AB.html
AVIANO AB,"46°01'49""N","12°36'41""E",33T UM 15147 00185,35P1,35P1 (PUBLIC AFFAIRS),https://paladindanse111.github.io/AFSC-PDFs/35P.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_AVIANO_AB.html
AVIANO AB,"46°01'49""N","12°36'41""E",33T UM 15147 00185,38F1,38F1 (FORCE SUPPORT),https://paladindanse111.github.io/AFSC-PDFs/38F.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_AVIANO_AB.html
AVIANO AB,"46°01'49""N","12°36'41""E",33T UM 15147 00185,64P1,64P1 (CONTRACTING),https://paladindanse111.github.io/AFSC-PDFs/64P.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_AVIANO_AB.html
AVIANO AB,"46°01'49""N","12°36'41""E",33T UM 15147 00185,65F1,65F1 (FINANCIAL MANAGEMENT),https://paladindanse111.github.io/AFSC-PDFs/65F.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_AVIANO_AB.html
BARKSDALE AFB,"32°29'45""N","93°40'21""W",15S VR 36822 95596,14F1,14F1 (INFORMATION OPERATIONS),https://paladindanse111.github.io/AFSC-PDFs/14F.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_BARKSDALE_AFB.html
BARKSDALE AFB,"32°29'45""N","93°40'21""W",15S VR 36822 95596,15A1,15A1 (OPERATIONS ANALYSIS OFFICER),https://paladindanse111.github.io/AFSC-PDFs/15A.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_BARKSDALE_AFB.html
BARKSDALE AFB,"32°29'45""N","93°40'21""W",15S VR 36822 95596,15W1,15W1 (WEATHER AND ENVIRONMENTAL SCIENCES),https://paladindanse111.github.io/AFSC-PDFs/15W.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_BARKSDALE_AFB.html
BARKSDALE AFB,"32°29'45""N","93°40'21""W",15S VR 36822 95596,21A1,21A1 (AIRCRAFT MAINTENANCE),https://paladindanse111.github.io/AFSC-PDFs/21A.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_BARKSDALE_AFB.html
BARKSDALE AFB,"32°29'45""N","93°40'21""W",15S VR 36822 95596,21M1,21M1 (MUNITIONS AND MISSILE MAINTENANCE),https://paladindanse111.github.io/AFSC-PDFs/21M.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_BARKSDALE_AFB.html
BARKSDALE AFB,"32°29'45""N","93°40'21""W",15S VR 36822 95596,21R1,21R1 (LOGISTICS READINESS),https://paladindanse111.github.io/AFSC-PDFs/21R.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_BARKSDALE_AFB.html
BARKSDALE AFB,"32°29'45""N","93°40'21""W",15S VR 36822 95596,32E1A,32E1A (CIVIL ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/32E.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_BARKSDALE_AFB.html
BARKSDALE AFB,"32°29'45""N","93°40'21""W",15S VR 36822 95596,32E1C,32E1C (CIVIL ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/32E.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_BARKSDALE_AFB.html
BARKSDALE AFB,"32°29'45""N","93°40'21""W",15S VR 36822 95596,32E1E,32E1E (CIVIL ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/32E.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_BARKSDALE_AFB.html
BARKSDALE AFB,"32°29'45""N","93°40'21""W",15S VR 36822 95596,32E1F,32E1F (CIVIL ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/32E.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_BARKSDALE_AFB.html
BARKSDALE AFB,"32°29'45""N","93°40'21""W",15S VR 36822 95596,32E1G,32E1G (CIVIL ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/32E.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_BARKSDALE_AFB.html
BARKSDALE AFB,"32°29'45""N","93°40'21""W",15S VR 36822 95596,32E1J,32E1J (CIVIL ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/32E.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_BARKSDALE_AFB.html
BARKSDALE AFB,"32°29'45""N","93°40'21""W",15S VR 36822 95596,35P1,35P1 (PUBLIC AFFAIRS),https://paladindanse111.github.io/AFSC-PDFs/35P.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_BARKSDALE_AFB.html
BARKSDALE AFB,"32°29'45""N","93°40'21""W",15S VR 36822 95596,38F1,38F1 (FORCE SUPPORT),https://paladindanse111.github.io/AFSC-PDFs/38F.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_BARKSDALE_AFB.html
BARKSDALE AFB,"32°29'45""N","93°40'21""W",15S VR 36822 95596,61D1,61D1 (PHYSICIST/NUCLEAR ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/61D.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_BARKSDALE_AFB.html
BARKSDALE AFB,"32°29'45""N","93°40'21""W",15S VR 36822 95596,62E1A,62E1A (DEVELOPMENTAL ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/62E.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_BARKSDALE_AFB.html
BARKSDALE AFB,"32°29'45""N","93°40'21""W",15S VR 36822 95596,62E1B,62E1B (DEVELOPMENTAL ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/62E.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_BARKSDALE_AFB.html
BARKSDALE AFB,"32°29'45""N","93°40'21""W",15S VR 36822 95596,62E1C,62E1C (DEVELOPMENTAL ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/62E.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_BARKSDALE_AFB.html
BARKSDALE AFB,"32°29'45""N","93°40'21""W",15S VR 36822 95596,62E1E,62E1E (DEVELOPMENTAL ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/62E.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_BARKSDALE_AFB.html
BARKSDALE AFB,"32°29'45""N","93°40'21""W",15S VR 36822 95596,62E1G,62E1G (DEVELOPMENTAL ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/62E.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_BARKSDALE_AFB.html
BARKSDALE AFB,"32°29'45""N","93°40'21""W",15S VR 36822 95596,62E1H,62E1H (DEVELOPMENTAL ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/62E.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_BARKSDALE_AFB.html
BARKSDALE AFB,"32°29'45""N","93°40'21""W",15S VR 36822 95596,62E1I,62E1I (DEVELOPMENTAL ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/62E.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_BARKSDALE_AFB.html
BARKSDALE AFB,"32°29'45""N","93°40'21""W",15S VR 36822 95596,64P1,64P1 (CONTRACTING),https://paladindanse111.github.io/AFSC-PDFs/64P.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_BARKSDALE_AFB.html
BARKSDALE AFB,"32°29'45""N","93°40'21""W",15S VR 36822 95596,65F1,65F1 (FINANCIAL MANAGEMENT),https://paladindanse111.github.io/AFSC-PDFs/65F.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_BARKSDALE_AFB.html
BARKSDALE AFB,"32°29'45""N","93°40'21""W",15S VR 36822 95596,71S1,71S1 (SPECIAL INVESTIGATIONS),https://paladindanse111.github.io/AFSC-PDFs/71S.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_BARKSDALE_AFB.html
BEALE AFB,"39°06'41""N","121°21'35""W",10S FJ 41815 30418,21A1,21A1 (AIRCRAFT MAINTENANCE),https://paladindanse111.github.io/AFSC-PDFs/21A.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_BEALE_AFB.html
BEALE AFB,"39°06'41""N","121°21'35""W",10S FJ 41815 30418,21M1,21M1 (MUNITIONS AND MISSILE MAINTENANCE),https://paladindanse111.github.io/AFSC-PDFs/21M.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_BEALE_AFB.html
BEALE AFB,"39°06'41""N","121°21'35""W",10S FJ 41815 30418,21R1,21R1 (LOGISTICS READINESS),https://paladindanse111.github.io/AFSC-PDFs/21R.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_BEALE_AFB.html
BEALE AFB,"39°06'41""N","121°21'35""W",10S FJ 41815 30418,32E1A,32E1A (CIVIL ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/32E.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_BEALE_AFB.html
BEALE AFB,"39°06'41""N","121°21'35""W",10S FJ 41815 30418,32E1C,32E1C (CIVIL ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/32E.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_BEALE_AFB.html
BEALE AFB,"39°06'41""N","121°21'35""W",10S FJ 41815 30418,32E1E,32E1E (CIVIL ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/32E.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_BEALE_AFB.html
BEALE AFB,"39°06'41""N","121°21'35""W",10S FJ 41815 30418,32E1F,32E1F (CIVIL ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/32E.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_BEALE_AFB.html
BEALE AFB,"39°06'41""N","121°21'35""W",10S FJ 41815 30418,32E1G,32E1G (CIVIL ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/32E.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_BEALE_AFB.html
